date,declination,declination_sv,declination_uncertainty,elevation,horintensity,horintensity_sv,horintensity_uncertainty,inclination,inclination_sv,inclination_uncertainty,latitude,longitude,totalintensity,totalintensity_sv,totalintensity_uncertainty,xcomponent,xcomponent_sv,xcomponent_uncertainty,ycomponent,ycomponent_sv,ycomponent_uncertainty,zcomponent,zcomponent_sv,zcomponent_uncertainty
2020.27322,-14.71619,0.08991,0.36,400,23121.8,38,128,43.50568,-0.20606,0.21,25.60059,-49.72776,31878.6,-56.4,145,22363.3,46,131,-5873.7,25.4,94,21946.1,-122,157
2020.27322,-14.71663,0.09012,0.36,400,23155.7,38,128,43.25901,-0.20733,0.21,25.45978,-49.59254,31795.8,-56.1,145,22396.1,46,131,-5882.5,25.6,94,21789.6,-122.3,157
2020.27322,-14.71716,0.09034,0.36,400,23189.4,37.9,128,43.01094,-0.2086,0.21,25.31882,-49.45767,31713.2,-55.9,145,22428.6,45.9,131,-5891.2,25.7,94,21632.8,-122.6,157
2020.27322,-14.7178,0.09056,0.36,400,23222.8,37.8,128,42.76147,-0.20989,0.21,25.17772,-49.32315,31630.7,-55.7,145,22460.9,45.9,131,-5900,25.9,94,21475.6,-122.9,157
2020.27322,-14.71853,0.09078,0.36,400,23256,37.7,128,42.51058,-0.21118,0.21,25.03648,-49.18896,31548.4,-55.4,145,22492.8,45.8,131,-5908.7,26.1,94,21318.1,-123.2,157
2020.27322,-14.71936,0.091,0.35,400,23288.8,37.6,128,42.25826,-0.21247,0.21,24.89509,-49.05512,31466.2,-55.2,145,22524.5,45.8,131,-5917.3,26.2,94,21160.2,-123.5,157
2020.27322,-14.72029,0.09123,0.35,400,23321.4,37.5,128,42.00451,-0.21377,0.21,24.75356,-48.92161,31384.2,-54.9,145,22555.9,45.7,131,-5926,26.4,94,21002,-123.8,157
2020.27322,-14.72132,0.09146,0.35,400,23353.7,37.4,128,41.74932,-0.21508,0.21,24.61189,-48.78843,31302.5,-54.7,145,22587.1,45.7,131,-5934.6,26.5,94,20843.5,-124.1,157
2020.27322,-14.72286,0.09176,0.35,400,23396.3,37.3,128,41.4068,-0.21684,0.21,24.42277,-48.61138,31193.7,-54.4,145,22628.1,45.6,131,-5946,26.8,94,20631.5,-124.5,157
2020.27322,-14.72413,0.092,0.35,400,23427.9,37.2,128,41.14821,-0.21816,0.21,24.28078,-48.47898,31112.3,-54.1,145,22658.5,45.5,131,-5954.6,26.9,94,20472.2,-124.8,157
2020.27322,-14.72552,0.09224,0.35,400,23459.2,37.1,128,40.88815,-0.21949,0.21,24.13865,-48.3469,31031.2,-53.9,145,22688.7,45.5,131,-5963.1,27.1,94,20312.5,-125.1,157
2020.27322,-14.727,0.09248,0.35,400,23490.2,37,128,40.62661,-0.22083,0.21,23.99638,-48.21514,30950.2,-53.6,145,22718.5,45.4,131,-5971.5,27.3,94,20152.5,-125.4,157
2020.27322,-14.7286,0.09272,0.35,400,23521,36.9,128,40.36359,-0.22217,0.21,23.85398,-48.0837,30869.4,-53.3,145,22748.1,45.3,131,-5980,27.4,94,19992.1,-125.8,157
2020.27322,-14.73031,0.09297,0.35,400,23551.4,36.8,128,40.09908,-0.22352,0.21,23.71145,-47.95258,30788.9,-53.1,145,22777.3,45.3,131,-5988.4,27.6,94,19831.5,-126.1,157
2020.27322,-14.73212,0.09321,0.35,400,23581.5,36.6,128,39.83307,-0.22488,0.21,23.56878,-47.82177,30708.5,-52.8,145,22806.2,45.2,131,-5996.8,27.8,94,19670.4,-126.4,157
